"date","open","high","low","close","stock"
2018-12-13,106000,111000,106000,109000,"넷마블"
2018-12-14,109000,109500,103500,106000,"넷마블"
2018-12-17,106000,108000,104500,107500,"넷마블"
2018-12-18,106500,108500,105000,108500,"넷마블"
2018-12-19,108500,112000,107500,110500,"넷마블"
2018-12-20,110000,110500,108000,109000,"넷마블"
2018-12-21,110000,117000,108500,114500,"넷마블"
2018-12-24,114500,116000,113000,114000,"넷마블"
2018-12-26,111000,113500,109000,110000,"넷마블"
2018-12-27,111000,115500,110500,115000,"넷마블"
2018-12-28,114500,115500,111000,111500,"넷마블"
2018-12-03,134500,138500,133500,134500,"현대중공업"
2018-12-04,136000,139500,135000,138500,"현대중공업"
2018-12-05,136500,142000,136000,139000,"현대중공업"
2018-12-06,139500,140000,134000,135000,"현대중공업"
2018-12-07,136500,138000,133500,135500,"현대중공업"
2018-12-10,133500,136000,133000,135500,"현대중공업"
2018-12-11,136000,136000,132000,133000,"현대중공업"
2018-12-12,133000,141000,133000,140000,"현대중공업"
2018-12-13,140000,144500,139000,143000,"현대중공업"
2018-12-14,141500,145000,138500,140000,"현대중공업"
2018-12-17,141000,141500,137000,137500,"현대중공업"
2018-12-18,137000,139000,135500,137000,"현대중공업"
2018-12-19,138000,138500,130000,133000,"현대중공업"
2018-12-20,132000,132000,126500,128000,"현대중공업"
2018-12-21,127000,128000,122500,127000,"현대중공업"
2018-12-24,126500,127500,124000,127000,"현대중공업"
2018-12-26,123500,125500,122500,124500,"현대중공업"
2018-12-27,127500,133000,127000,129500,"현대중공업"
2018-12-28,131000,132000,128000,128500,"현대중공업"
2018-12-03,509000,517000,493500,494500,"엔씨소프트"
2018-12-04,496000,503000,484500,492500,"엔씨소프트"
2018-12-05,494000,502000,491500,498000,"엔씨소프트"
2018-12-06,485500,493000,472000,486500,"엔씨소프트"
2018-12-07,489000,496500,482000,488500,"엔씨소프트"
2018-12-10,486000,499000,482000,497500,"엔씨소프트"
2018-12-11,498500,503000,491500,497500,"엔씨소프트"
2018-12-12,497500,504000,494000,503000,"엔씨소프트"
2018-12-13,510000,510000,503000,509000,"엔씨소프트"
2018-12-14,507000,509000,491000,5e+05,"엔씨소프트"
2018-12-17,5e+05,503000,479500,480000,"엔씨소프트"
2018-12-18,478500,485000,473000,477000,"엔씨소프트"
2018-12-19,481000,485000,476000,482500,"엔씨소프트"
2018-12-20,482500,482500,466000,467500,"엔씨소프트"
2018-12-21,468500,483500,460000,480000,"엔씨소프트"
2018-12-24,480500,487000,474000,476500,"엔씨소프트"
2018-12-26,472500,482500,468500,473500,"엔씨소프트"
2018-12-27,485000,487000,471500,484000,"엔씨소프트"
2018-12-28,475000,476000,464000,466500,"엔씨소프트"
2018-12-03,428000,439500,427000,432500,"고려아연"
2018-12-04,433000,441000,428000,439500,"고려아연"
2018-12-05,439500,444500,436000,438500,"고려아연"
2018-12-06,442000,442500,433500,437000,"고려아연"
2018-12-07,440000,441500,431000,433500,"고려아연"
2018-12-10,430500,447000,430500,443500,"고려아연"
2018-12-11,443500,449000,441500,442500,"고려아연"
2018-12-12,447500,448000,436000,442500,"고려아연"
2018-12-13,440000,453500,440000,453500,"고려아연"
2018-12-14,454000,460000,442000,448500,"고려아연"
2018-12-17,455000,457500,445500,445500,"고려아연"
2018-12-18,449000,453500,443500,449000,"고려아연"
2018-12-19,449000,454000,448000,451000,"고려아연"
2018-12-20,446000,449500,433000,449500,"고려아연"
2018-12-21,451500,451500,432500,437500,"고려아연"
2018-12-24,437000,449500,430000,448500,"고려아연"
2018-12-26,440500,451500,438000,443500,"고려아연"
2018-12-27,432000,444500,430000,443000,"고려아연"
2018-12-28,441500,442000,431500,432500,"고려아연"
2018-12-03,27550,27705,27375,27635,"KODEX 200"
